date,ticker,iv,hv,source
2025-06-17,AAPL,0.27307328,0.3177124,ibkr
2025-06-18,AAPL,0.2596117,0.31641069,ibkr
2025-06-20,AAPL,0.25421437,0.31466449,ibkr
2025-06-23,AAPL,0.24411818,0.31093399,ibkr
2025-06-24,AAPL,0.23751439,0.31009264,ibkr
2025-06-25,AAPL,0.23649842,0.25378576,ibkr
2025-06-26,AAPL,0.24272123,0.25308728,ibkr
2025-06-27,AAPL,0.25205544,0.25324602,ibkr
2025-06-30,AAPL,0.28696348,0.26231037,ibkr
2025-07-01,AAPL,0.2838997,0.26443755,ibkr
2025-07-02,AAPL,0.2822805,0.2589291,ibkr
2025-07-03,AAPL,0.27389876,0.25751627,ibkr
2025-07-07,AAPL,0.30140928,0.25916722,ibkr
2025-07-08,AAPL,0.29253543,0.25826237,ibkr
2025-07-09,AAPL,0.28861443,0.23165669,ibkr
2025-07-10,AAPL,0.28062955,0.22744995,ibkr
2025-07-11,AAPL,0.28188364,0.22798968,ibkr
2025-07-14,AAPL,0.29055112,0.22206849,ibkr
2025-07-15,AAPL,0.29229731,0.21792524,ibkr
2025-07-16,AAPL,0.28653487,0.22084615,ibkr
2025-07-17,AAPL,0.28959865,0.22067153,ibkr
2025-07-18,AAPL,0.2854554,0.21790937,ibkr
2025-07-21,AAPL,0.28813819,0.21819511,ibkr
2025-07-22,AAPL,0.29055112,0.21405186,ibkr
2025-07-23,AAPL,0.29063049,0.20860691,ibkr
2025-07-24,AAPL,0.28232812,0.20659085,ibkr
2025-07-25,AAPL,0.27818488,0.20227298,ibkr
2025-07-28,AAPL,0.28223288,0.20154275,ibkr
2025-07-29,AAPL,0.29853599,0.19997118,ibkr
2025-07-30,AAPL,0.30466355,0.20249522,ibkr
2025-07-31,AAPL,0.31714092,0.20120939,ibkr
2025-08-01,AAPL,0.278296,0.22508465,ibkr
2025-08-04,AAPL,0.26934277,0.229974,ibkr
2025-08-05,AAPL,0.26485029,0.22945014,ibkr
2025-08-06,AAPL,0.26164364,0.24084803,ibkr
2025-08-07,AAPL,0.24813443,0.25294441,ibkr
2025-08-08,AAPL,0.24791219,0.26429468,ibkr
2025-08-11,AAPL,0.24664223,0.266152,ibkr
2025-08-12,AAPL,0.24021305,0.25648442,ibkr
2025-08-13,AAPL,0.24032417,0.25589707,ibkr
2025-08-14,AAPL,0.23116458,0.25496047,ibkr
2025-08-15,AAPL,0.22778331,0.2572464,ibkr
2025-08-18,AAPL,0.23367276,0.24922977,ibkr
